Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Estimates Start After
The Bahamas,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,334.41","9,724.77","10,728.16","11,644.12","12,077.16","12,806.87","13,177.56","13,780.28","14,286.67","14,927.69","15,383.42","14,930.25","14,435.31","14,570.72","15,086.97","15,750.07","16,432.09","17,248.13","17,959.15","19,222.76","20,152.29","20,840.11","21,419.33","21,268.22","21,745.79","22,900.83","23,905.01","24,599.07","24,213.27","23,112.61","23,492.65","23,858.14","24,562.09","24,692.23",2013
Bahrain,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","17,726.54","19,155.22","20,888.88","22,466.12","23,447.22","23,174.19","22,946.23","22,443.55","23,757.39","24,063.96","25,605.09","25,979.80","28,000.67","30,045.60","30,848.12","31,263.42","32,014.28","32,460.01","33,508.80","30,627.84","37,435.34","37,833.86","36,950.02","37,231.93","37,983.95","38,794.88","39,399.56","40,477.96","41,185.95","39,956.16","40,277.96","43,361.95","44,848.55","47,070.88",2013
Bangladesh,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",510.298,559.735,597.339,632.547,664.483,692.684,715.358,735.191,758.837,801.465,848.26,892.163,935.079,977.277,"1,021.15","1,069.40","1,119.86","1,175.02","1,222.89","1,283.85","1,361.28","1,434.18","1,501.37","1,594.40","1,713.09","1,854.69","2,018.20","2,183.02","2,324.60","2,441.44","2,592.17","2,785.47","2,978.63","3,171.03",2013
Barbados,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,417.21","5,810.49","5,868.62","6,130.79","6,576.91","6,862.03","7,357.40","7,741.35","8,292.78","8,925.40","8,950.09","8,887.32","8,571.80","8,845.92","8,716.31","9,074.69","9,599.55","10,169.08","10,635.95","10,809.60","11,474.91","11,424.62","11,652.92","12,107.57","12,564.64","13,448.57","14,615.50","15,230.22","15,556.50","15,009.82","15,196.55","15,591.82","15,886.85","16,103.58",2010
Belarus,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"4,965.78","4,686.99","4,231.65","3,860.32","4,049.69","4,609.88","5,082.01","5,342.65","5,793.87","6,225.86","6,678.54","7,337.88","8,460.57","9,619.16","10,980.51","12,317.28","13,905.30","14,072.16","15,369.31","16,589.38","17,216.55","17,678.24",2013
Belgium,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,977.08","11,958.49","12,787.41","13,329.00","14,149.61","14,836.54","15,409.71","16,157.93","17,493.99","18,706.46","19,966.40","20,926.70","21,655.46","21,856.35","22,968.15","23,935.36","24,719.82","26,014.55","26,766.42","28,126.63","29,714.23","30,599.69","31,412.16","32,179.63","34,066.65","35,659.17","37,486.52","39,364.71","40,206.74","39,134.90","40,278.67","41,164.82","41,605.93","42,153.49",2014
Belize,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,370.04","1,498.18","1,444.09","1,548.79","1,738.02","1,720.32","1,829.83","2,230.61","2,509.39","2,933.34","3,287.93","3,689.29","4,123.08","4,354.78","4,327.84","4,333.60","4,364.83","4,437.04","4,487.13","4,862.88","5,469.28","5,703.04","5,906.04","6,381.09","6,645.24","6,814.03","7,113.60","7,141.85","7,269.71","7,360.05","7,679.78","7,796.11","8,035.45","8,079.18",2013
Benin,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",683.937,736.672,771.824,761.482,767.488,799.863,812.397,791.298,820.48,804.331,881.088,915.7,929.189,969.986,974.953,"1,020.39","1,050.48","1,096.89","1,120.10","1,163.51","1,210.33","1,273.29","1,306.59","1,339.94","1,373.17","1,411.71","1,462.96","1,523.77","1,583.29","1,590.31","1,604.13","1,644.98","1,718.03","1,796.22",2011
Bhutan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",475.262,574.474,644.153,701.883,762.686,798.776,852.189,"1,015.50","1,171.86","1,263.02","1,412.30","1,533.14","1,620.76","1,742.80","1,869.27","2,033.32","2,183.71","2,302.55","2,399.20","2,532.65","2,681.08","2,843.66","3,069.24","3,316.53","3,537.19","3,790.49","4,084.56","4,624.52","5,125.71","5,364.20","5,833.53","6,441.26","6,863.62","7,200.00",0
Bolivia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,159.11","2,187.16","2,185.74","2,135.61","2,161.83","2,148.76","2,091.99","2,153.28","2,246.61","2,372.89","2,522.08","2,687.18","2,736.57","2,840.11","2,951.58","3,066.46","3,171.94","3,283.31","3,447.55","3,477.04","3,524.62","3,677.38","3,692.92","3,617.22","3,816.12","4,054.74","4,280.15","4,466.75","4,773.98","4,839.65","5,001.30","5,267.30","5,554.85","5,916.65",2011
Bosnia and Herzegovina,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"3,092.69","3,750.30","4,435.11","4,891.98","5,148.13","5,365.71","5,678.54","5,968.09","6,464.85","6,900.97","7,517.40","8,185.54","8,825.36","8,665.61","8,861.68","9,147.41","9,218.46","9,614.45",2014
Botswana,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,871.64","2,173.11","2,579.05","2,864.39","3,046.77","3,265.73","3,490.12","3,966.59","4,888.32","5,128.88","5,577.72","5,945.65","5,897.22","6,109.16","6,028.54","6,423.98","6,760.29","7,263.21","7,242.14","7,911.74","8,112.93","8,194.96","8,710.36","9,183.10","9,575.29","10,204.58","11,246.58","12,329.12","13,169.31","12,088.43","13,116.07","14,030.17","14,803.48","16,254.62",2008
Brazil,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,825.60","4,933.76","5,157.40","5,068.73","5,411.74","5,902.66","6,347.31","6,615.23","6,739.64","7,099.44","6,848.87","7,029.90","7,040.75","7,425.02","7,862.73","8,252.30","8,456.64","8,759.46","8,753.81","8,798.94","9,139.36","9,336.04","9,639.50","9,822.87","10,530.69","11,076.12","11,734.63","12,626.96","13,374.81","13,304.82","14,342.33","15,065.36","15,468.71","16,008.31",2014
Brunei Darussalam,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,"54,530.17","53,032.77","52,805.58","52,742.80","54,888.15","55,923.83","57,983.79","60,566.06","60,761.14","62,411.33","64,990.04","66,418.22","64,970.26","63,661.39","65,053.57","66,767.38","68,467.88","70,670.05","72,822.90","73,943.39","75,293.33","79,697.07","80,698.39","79,577.63","77,667.20","79,302.82","82,567.71","83,492.21","81,741.78",2013
Bulgaria,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,801.67","5,509.69","6,076.32","6,486.61","7,014.44","7,371.17","7,936.53","8,556.94","9,121.62","9,496.01","9,023.87","8,397.51","7,944.74","7,264.10","7,220.83","7,323.33","6,916.61","7,012.23","7,385.36","7,108.61","7,631.32","8,367.05","8,927.36","9,648.00","10,618.32","11,676.20","12,879.53","14,207.81","15,388.02","14,811.21","15,208.73","16,214.14","16,697.06","17,253.63",2014
Burkina Faso,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",326.038,357.083,375.088,375.692,385.534,461.046,494.776,493.184,526.057,543.721,545.726,598.789,597.555,616.026,620.262,651.262,716.129,753.168,794.418,841.621,852.382,903.116,929.634,992.933,"1,035.24","1,127.60","1,199.15","1,244.47","1,303.59","1,313.39","1,400.42","1,480.69","1,559.94","1,642.61",2011
Burundi,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",359.538,428.373,437.34,458.071,461.539,517.279,529.346,556.421,587.655,601.129,626.559,665.344,668.34,642.68,620.473,572.523,526.639,529.18,550.558,565.492,577.122,571.299,572.518,581.735,608.088,642.243,684.137,712.26,744.013,759.933,789.144,819.515,847.801,879.053,0
Cabo Verde,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",797.661,931.433,998.738,"1,114.18","1,172.31","1,286.94","1,322.77","1,385.96","1,489.01","1,600.12","1,633.62","1,672.09","1,720.58","1,845.49","1,968.33","2,105.99","2,235.85","2,396.43","2,574.63","2,868.59","3,088.32","3,290.21","3,453.40","3,723.26","3,957.86","4,276.73","4,777.26","5,336.85","5,792.20","5,750.35","5,883.38","6,205.66","6,193.57","6,282.20",2014
Cambodia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,595.639,655.349,682.226,693.749,747.956,794.335,820.534,755.875,795.505,829.119,866.842,897.353,996.14,"1,084.34","1,175.41","1,248.27","1,357.42","1,513.81","1,742.12","1,959.91","2,186.54","2,345.65","2,331.44","2,462.23","2,646.49","2,841.96","3,056.97",2012
Cameroon,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,114.04","1,385.46","1,539.38","1,664.12","1,803.42","1,959.76","2,077.74","2,027.13","1,878.01","1,860.09","1,755.39","1,693.38","1,629.50","1,568.30","1,587.40","1,641.45","1,705.74","1,777.38","1,833.29","1,884.20","1,952.82","2,030.63","2,086.05","2,153.13","2,231.74","2,292.27","2,372.40","2,446.36","2,496.40","2,494.11","2,543.53","2,637.59","2,741.16","2,869.63",2010
Canada,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,678.99","13,049.45","13,280.62","14,017.72","15,179.70","16,248.26","16,774.97","17,674.50","18,906.62","19,765.99","20,213.46","20,184.29","20,573.06","21,364.77","22,570.06","23,426.67","24,003.18","25,198.89","26,300.71","27,813.14","29,629.73","30,494.18","31,487.18","32,429.81","34,047.14","35,912.10","37,605.52","38,999.01","39,806.20","38,576.46","39,916.62","41,525.54","42,612.12","43,669.76",2014
Central African Republic,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",406.365,487.104,486.582,463.899,515.6,537.272,567.973,570.463,588.871,631.851,627.851,638.62,627.31,627.387,690.55,718.124,659.285,706.473,725.327,748.559,738.572,744.94,745.681,697.032,722.975,751.658,797.385,840.725,858.477,863.049,882.892,912.956,949.392,605.192,2004
Chad,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",434.196,413.158,451.058,529.056,562.563,611.132,644.537,668.383,725.826,750.019,783.087,872.385,892.203,873.519,919.066,876.482,889.117,931.896,982.546,966.036,954.704,"1,063.71","1,143.17","1,221.98","1,636.90","1,779.16","1,800.69","1,862.52","1,909.30","1,956.14","2,193.39","2,185.87","2,364.75","2,478.19",2004
Chile,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,436.38","3,925.45","3,544.61","3,524.63","3,804.33","3,941.95","4,172.25","4,481.96","4,892.86","5,528.80","5,846.67","6,403.06","7,217.82","7,763.14","8,233.64","9,129.93","9,843.36","10,528.64","10,843.58","10,787.19","11,375.59","11,889.36","12,257.82","12,787.29","13,888.31","15,084.65","16,285.68","17,405.47","18,120.96","17,866.61","18,910.72","20,187.71","21,460.06","22,508.91",2002
China,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",309.23,350.97,400.179,455.061,535.706,618.443,676.146,761.029,862.897,918.987,975.464,"1,086.29","1,255.33","1,447.21","1,652.76","1,853.17","2,052.32","2,256.69","2,437.49","2,641.67","2,907.45","3,198.23","3,519.48","3,925.87","4,414.65","5,042.25","5,825.18","6,791.94","7,553.91","8,271.15","9,215.40","10,249.94","11,191.93","12,188.40",2014
Colombia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,779.82","3,040.85","3,190.14","3,297.07","3,455.16","3,701.58","3,914.91","4,143.59","4,371.39","4,600.97","4,876.15","5,052.98","5,287.41","5,615.14","5,922.79","6,254.48","6,395.44","6,640.93","6,647.90","6,384.45","6,621.30","6,798.44","6,987.48","7,314.04","7,818.98","8,347.73","9,071.16","9,837.09","10,263.37","10,388.70","10,805.72","11,618.94","12,169.57","12,830.01",2014
Comoros,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",696.509,783.589,845.4,885.151,945.348,964.256,972.258,981.981,"1,011.31",984.813,"1,043.74","1,054.05","1,145.09","1,182.39","1,119.98","1,159.90","1,140.94","1,184.18","1,185.57","1,201.29","1,220.05","1,262.51","1,307.24","1,337.80","1,331.35","1,415.22","1,446.44","1,448.77","1,448.14","1,442.28","1,446.46","1,465.24","1,491.66","1,523.61",2003
Democratic Republic of the Congo,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",683.428,730.203,747.322,762.609,801.48,804.421,831.923,847.962,853.555,847.601,794.985,728.045,645.441,553.531,513.63,521.613,507.973,466.313,444.222,425.363,388.007,377.199,382.796,400.2,426.13,453.227,477.681,505.894,531.992,535.276,563.425,596.684,631.792,676.265,1983
Republic of Congo,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,912.80","2,081.79","2,196.43","2,267.76","2,332.03","2,389.66","2,420.24","2,463.71","3,015.51","3,574.97","3,632.00","3,729.17","3,796.61","3,735.42","3,500.76","3,610.02","3,833.62","3,765.69","3,837.54","3,688.68","3,944.05","4,069.32","4,199.32","4,196.20","4,335.75","4,686.43","4,987.03","4,896.72","5,122.44","5,390.51","5,766.21","5,914.41","6,076.78","6,243.58",2004
Costa Rica,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,327.64","3,450.99","3,299.19","3,427.43","3,725.34","3,758.76","3,928.59","4,104.60","4,277.58","4,575.69","4,797.20","4,953.58","5,409.61","5,796.82","6,020.71","6,208.37","6,208.03","6,499.02","6,949.27","7,455.34","7,818.28","7,789.76","7,999.20","8,545.32","9,010.06","9,699.21","10,713.79","11,702.83","12,081.04","11,873.24","12,434.13","13,095.88","13,844.50","14,366.35",2011
Côte d'Ivoire,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,684.41","1,863.59","1,909.23","1,841.35","1,817.75","1,871.03","1,924.78","1,890.75","1,960.96","2,015.35","1,985.98","1,973.75","1,937.41","2,039.60","2,025.88","2,121.72","2,271.80","2,381.02","2,461.53","2,475.27","2,416.40","2,411.76","2,346.93","2,301.35","2,333.10","2,387.54","2,434.90","2,479.35","2,526.57","2,561.92","2,578.51","2,452.51","2,694.24","2,900.96",2012
Croatia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"8,097.40","7,801.08","8,623.48","9,537.93","10,184.64","10,728.24","11,293.67","11,235.56","12,444.11","13,397.31","14,316.60","15,410.14","16,461.28","17,694.22","19,101.72","20,629.51","21,476.12","20,074.05","20,034.06","20,433.02","20,416.19","20,586.20",2013
Cyprus,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,225.71","6,927.53","7,732.21","8,354.92","9,289.19","9,924.51","10,364.72","11,264.59","12,497.59","13,830.87","15,088.07","15,296.36","16,670.23","16,768.97","17,761.44","19,733.65","20,113.80","20,673.64","21,714.24","22,825.74","24,422.06","25,578.36","26,499.57","27,428.01","29,010.99","30,641.47","32,404.19","34,062.68","35,062.67","33,669.35","33,703.03","33,600.40","33,028.54","31,419.50",2014
Czech Republic,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"13,840.59","14,713.60","14,882.22","15,010.74","15,473.91","16,524.08","17,494.82","18,110.54","19,153.00","20,647.87","22,677.36","24,921.10","26,918.14","27,947.15","26,584.29","27,431.15","28,480.93","28,693.24","28,977.50",2014
Denmark,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,528.76","12,517.62","13,795.89","14,721.19","15,892.42","17,060.61","18,239.78","18,721.64","19,357.09","20,238.32","21,272.30","22,239.22","23,121.17","23,588.50","25,296.86","26,510.40","27,589.07","28,845.00","29,693.53","30,926.75","32,715.82","33,615.46","34,168.56","34,886.66","36,696.75","38,699.64","41,282.11","42,574.73","42,874.23","40,736.09","41,726.12","42,879.40","43,229.05","43,547.30",2014
Djibouti,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"2,352.18","2,340.51","2,175.80","2,141.23","2,052.17","1,949.05","1,914.04","1,883.98","1,916.54","1,914.71","1,939.16","1,977.25","2,024.25","2,079.48","2,152.88","2,261.40","2,373.05","2,490.34","2,563.70","2,612.38","2,709.54","2,814.27","2,921.37",2009
Dominica,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,"2,045.95","2,270.75","2,429.46","2,630.72","2,763.42","3,029.44","3,314.64","3,712.19","3,863.06","4,238.26","4,454.33","4,647.97","4,861.03","4,965.77","5,222.51","5,482.48","5,697.74","5,976.42","6,088.91","6,372.61","6,513.22","6,430.69","6,980.57","7,396.57","7,690.09","8,301.53","9,070.35","9,913.84","9,879.27","10,074.36","10,283.20","10,341.21","10,572.19",2011
Dominican Republic,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,409.06","2,685.26","2,834.23","3,011.06","3,082.82","3,040.12","3,133.63","3,453.77","3,566.69","3,784.64","3,638.23","3,729.81","3,954.58","4,262.49","4,377.37","4,636.28","4,976.98","5,382.44","5,729.12","6,113.60","6,509.97","6,685.88","7,085.31","7,111.49","7,308.25","8,137.52","9,175.76","10,104.48","10,505.72","10,570.03","11,467.06","11,906.40","12,314.97","12,974.68",2014
Ecuador,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,245.69","3,584.28","3,746.02","3,681.92","3,867.04","4,058.06","4,159.54","3,911.48","4,359.30","4,432.25","4,625.07","4,909.84","5,088.28","5,200.34","5,425.33","5,556.76","5,658.31","5,910.00","6,077.35","5,792.69","5,901.13","6,139.20","6,350.54","6,540.62","7,147.64","7,672.06","8,112.18","8,360.53","8,904.89","8,860.74","9,115.86","9,868.98","10,402.03","10,884.32",2014
Egypt,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,135.76","2,320.59","2,574.03","2,835.77","3,086.25","3,325.36","3,464.10","3,624.67","3,823.04","4,002.16","4,209.63","4,351.07","4,373.07","4,513.55","4,705.22","4,916.97","5,133.69","5,418.93","5,764.74","6,080.35","6,371.47","6,600.29","6,774.89","6,986.05","7,320.44","7,733.73","8,344.25","8,995.07","9,620.80","9,923.20","10,319.57","10,495.55","10,661.63","10,762.35",2014
